TransactionID,CustomerID,PurchaseDate,Amount_PLN,ProductCategory,OrderStatus
T1001,K001,2023-01-16,350,Electronics,Completed
T1002,K002,2023-01-21,120,Accessories,Completed
T1003,K001,2023-02-10,450,Electronics,Completed
T1004,K003,2023-02-11,80,Beauty,Completed
T1005,K004,2023-02-19,600,Electronics,Returned
T1006,K001,2023-03-05,150,Accessories,Completed
T1007,K005,2023-03-06,200,Beauty,Completed
T1008,K003,2023-03-15,120,Beauty,Completed
T1009,K006,2023-03-25,90,Accessories,Completed
T1010,K002,2023-04-02,300,Electronics,Completed
T1011,K007,2023-04-12,400,Electronics,Completed
T1012,K001,2023-04-20,250,Accessories,Completed
T1013,K003,2023-04-25,150,Beauty,Returned
T1014,K008,2023-05-02,500,Electronics,Completed
T1015,K009,2023-05-15,120,Accessories,Completed
T1016,K010,2023-05-28,80,Beauty,Completed
T1017,K005,2023-06-01,250,Beauty,Completed
T1018,K011,2023-06-10,600,Electronics,Completed
T1019,K012,2023-06-20,150,Accessories,Completed
T1020,K001,2023-06-25,300,Electronics,Returned
T1021,K007,2023-07-05,450,Electronics,Completed
T1022,K013,2023-07-05,200,Beauty,Completed
T1023,K003,2023-07-18,100,Beauty,Completed
T1024,K014,2023-07-22,350,Electronics,Completed
T1025,K010,2023-08-05,120,Beauty,Completed
T1026,K015,2023-08-12,90,Accessories,Completed
T1027,K002,2023-08-20,400,Electronics,Completed
T1028,K016,2023-08-28,250,Accessories,Completed
T1029,K005,2023-09-02,180,Beauty,Completed
T1030,K017,2023-09-08,550,Electronics,Completed
T1031,K007,2023-09-15,300,Electronics,Returned
T1032,K018,2023-09-22,150,Beauty,Completed
T1033,K001,2023-10-05,200,Accessories,Completed
T1034,K019,2023-10-12,800,Electronics,Completed
T1035,K010,2023-10-20,100,Beauty,Completed
T1036,K020,2023-10-28,120,Accessories,Completed
T1037,K003,2023-11-05,150,Beauty,Completed
T1038,K015,2023-11-12,250,Accessories,Completed
T1039,K018,2023-11-18,200,Beauty,Completed
T1040,K014,2023-11-25,400,Electronics,Completed
T1041,K019,2023-11-30,350,Electronics,Returned
T1042,K005,2023-12-05,220,Beauty,Completed
T1043,K001,2023-12-10,300,Electronics,Completed
T1044,K020,2023-12-15,150,Accessories,Completed
T1045,K010,2023-12-18,130,Beauty,Completed
T1046,K015,2023-12-20,180,Accessories,Completed
T1047,K018,2023-12-22,250,Beauty,Completed
T1048,K003,2023-12-28,120,Beauty,Returned
T1049,K014,2023-12-29,450,Electronics,Completed
T1050,K019,2023-12-30,500,Electronics,Completed
